(1102667594040074240,neu,)schengen concurrence environnement plan macron pour europe passé crible politique 
(1102667587991883776,neu,)raffarin soutient macron aux européennes question européenne impose rassemblement car situation actuelle europe fait craindre pire dans urgence système met ordre bataille apprête faire bloc pour sauver okf
(1102667583919132672,neu,)mon intervention inspiré par philosophe jürgen habermas macron entête chercher peuple européen qui existe pas mieux vaut abandonner utopie post nationale centrer sur que europe fait mieux intégration économique 
(1102667583793364993,neu,)mardi prévoir déchaînement lfi contre tribune macron sur europe question celle étant écrite dans les langues maternelles des pays êtes vous certain que comprennent même français demande 
(1102667572087017475,neu,)remettre plat espace schengen renforcer défense vision europe macron 
(1102667562305941510,pos,)loire atlantique des militants écologistes décrochent portrait emmanuel macron dans une mairie ftr 
(1102667557348261889,neu,)macron appelle une renaissance européenne politique 
(1102667557293752321,neg,)quel projet vire des ainsi que tout les macron compatibles 
(1102667554919731207,neu,)macron reconnait des erreurs quel tartuffe habitude macron insulte les français quand est étranger prétend reconnaitre des erreurs alors france répond par répression défend justement niveau européen les politiques contestées france 
(1102667554710061057,neg,)raffarin juppé avaient déjà cédé leurs régions auxsocialistes des goals qui tirent les buts contre leur camp oui les renegats seront bien chez macron fera recyclage défaut faire gagner france 
(1102667546111758338,neu,)macron jui demandé pouvait signer mon billet retard pcq retard pour attendre pas fait dit ehe attention ministre éducation juste derrière moi engueuler 
(1102667533931421697,neu,)banque climat salaire minimum macron veut sauver une europe danger 
(1102667512276230149,neu,)macron invité hier soir émission che tempo che suivie par plus millions téléspectateurs est adressé directement aux italiens pour remettre italie marche réinventer ensemble rêve européen tourner page nationalisme 
(1102667510732767233,neg,)jacques weber macron est grand escroc mensonge permanent faut que plus rien soit dicté par cette économie ravageuse qui sert que très peu gens tuent des millions autres est train assister grand naufrage démocratie 
(1102667503757651971,neg,)même allemagne macron est plus crédible 
(1102667496321175558,irr,)autre bonne nouvelle pour apres pour gpa était temps encore petit effort pour quelques uns sera libre réformer droite kme préfère loin arrivée bellamy jeune intelligent 
(1102667494744092672,neg,)fait déjà quelques années soutient macron ils ont même vision libéralisme même dédain pour leurs concitoyens pour lui peuple était france bas
(1102667488427421696,neu,)tribune pourunerenaissanceeuropéenne les nationalistes trompent quand ils prétendent défendre notre identité dans retrait europe mais ceux qui voudraient rien changer trompent aussi 
(1102667483453030401,neg,)voyons frais contribuable mec est président marche europe mais pas des français encore heureux que les pays européens commence voir qui est rellement macron marre bien
(1102667481536233473,irr,)sékou toure disait jour que france dira que suis bon président sachez que suis entrain vous trahir donc est président sénégalais est entrain trahir peuple par hasard est quoi projet macron 
(1102667480810643456,neu,)oui sais mais dites moi les qui ont rejoint macron sont macroncompatibles vous voyez des filloniste dedans mis part solere qui fut brièvement porte parole fillon opportuniste patent guerre est très regrettable entre dit 
(1102667478243725312,neu,)parce que projet macron est connu moins les grandes lignes refonder renforcer refuse votre ligne politique eurosceptique fascisto compatible 
