(1102653565368258560,neg)blague soir temps parole macron pas augmenté selon autorité même alerté bfm car manquait peu temps parole pour exécutif 
(1102653563782811650,neg)nationalisme nourrit politique européenne défendue par macron les siens estonie ext droite fait avec près des voix mais surtout changeons rien tant que certains gavent
(1102653563384279040,pos)anniversaire macron emmanuel macron dit touché par cadeau anniversaire des français peuple surprendra toujours manquait justement épluche légume dans les cuisines elysée gyg
(1102653558292443136,neu)chaînon manquant est passage macronistes sein parlement européen adhesion macron france quel rapport puisque les questions traitées sont pas les mêmes
(1102653555398324224,neg)préférence européenne macron est déclinaison raciste nouveau monde lrem genre contrat est pour les polaks mais niet pour les africains plombier hongrois plus rien craindre untermenschen sénégalais cool adolphe acte giletsjaunes
(1102653550772015104,neu)coup dur pour macron
(1102653550356819968,neu)pour une renaissance européenne lettre emmanuel macron aux européens parisien tbq
(1102653547013963777,neg)est que macron déplacer pour venir soutenir les catholiques hélas crois pas alors courre lors une profanation cimetière juif quelles sont donc ses motivations les médias tout aussi silencieux 
(1102653541376815105,neu)tribune emmanuel macron pour une renaissance européenne 
(1102653533717962752,pos)fier vision pour notre europe tribune aujourd hui correspond vision leg que veux pour les générations futures mym
(1102653518018682880,neu)macron sur europe urgence via 
(1102653517456728065,pos)annonce son soutien macron pour les européennes 
(1102653506362724353,neg)horrifiant sous vos yeux vieil homme fait battre par des crs france nos aînés sont maltraités partout gilets jaunes nantes acte xvi acte yellow vests violences policières macron uqp
(1102653500897538048,neg)macron appelle retour calme car sait bien que son faux grand debat national est enfumage est aussi une manière nous prévenir que demain les violences policières vont encore continuer prudence vigilance giletsjaunes onlr 
(1102653471441014784,neu)pour une renaissance européenne texte intégral tribune emmanuel macron via 
(1102653452667236352,neu)jean pierre raffarin pourquoi soutiendrai projet emmanuel macron aux européennes 
(1102653451933224960,pos)une europe qui protège mieux intérieur comme extérieur qui avance plusieurs vitesses compris avec grande bretagne lance déblocage europe renaissance européenne 
(1102653445285269504,irr)des choses très justes dans cette tribune nous devons défendre notre liberté face aux manipulations protéger notre continent créer bouclier social européen placer climat centre toutes les institutions renaissance 
(1102653442961694720,neg)avec macron politique marche jamais été autant danger 
(1102653437727133698,neu)emmanuel macron veut conseil sécurité européen une préférence européenne 
(1102653401811300354,neu)macron besoin vote des musulmans pour exister 
(1102653378268672002,neu)urgent dans une tribune macron appelle une renaissance européenne via 
(1102653378180644864,neu)raffarin cherche boulot pays macron 
(1102653376951709698,neg)alors que macron flattait naguère être maître des horloges tempo des mesures semble désormais dicté par des impératifs bassement politiques dossiers assurance chômage retraites sont reportés après les élections européennes via 
(1102653361126600704,neg)ralliement juppé soutien raffarin les discours sarkozy sur europe présence philippe maire blanquer darmanin gouvernement bonne vieille droite française bien droite est enmarche fait macron lrem devraient appeler ump 
(1102653360061198337,neu)macron culture été exclue des quatre thèmes retenus par gouvernement comme fil rouge débat 
(1102653351320276992,neu)une tribune emmanuel macron pour une renaissance européenne 
(1102653342394867712,pos)voici nouvelle stratégie européenne macron appeler directement aux électeurs lieu aux chefs gouvernements nationaux pour créer espace politique européen venir que préconise depuis des années pourrait réaliser 
(1102653328075431936,neu)pour une renaissance européenne découvrez lettre emmanuel macron adressée aux citoyens europe tcn
(1102653314825625600,neg)gouv macron nous tous mis poil avec ses impôts ses taxes 
(1102653305170415617,neg)déchets fange vermine parasites vous rappelle rien des sous hommes des parasites éliminer société faut exterminer les gilets jaunes devront être écrasés comme vermine ils sont fascisme marche lrem acte acte xvi macron edp
(1102653303870144512,neg)macron est complètement paranoïaque macron destitution
(1102653291362693121,neg)est clair aussi déconnectés que cher macron 
(1102653280516227072,neg)est les médias tiennent leur sujet pour jusqu aux européennes lettre macron monde entier ben zut alors sais plus lire moins pas des conneries 
(1102653270382862337,neg)venez signez pour envoyer toute clique des responsables castaner macron complice pire devant juridiction internationale cpi 
(1102653267060895744,pos)programme pour une renaissance europe tracé par président macron mérite adhésion tous les progressistes français européens 
(1102653258231885824,neg)senat mot progressiste est peu hlod que nous ressentons vis vis emmanuel macron 
(1102653240703938562,neg)pense que prochain président macron fera jamais perdrait ses amis devra absolument revoir tous salaires politiques est plus possible continuer entretenir ces profiteurs quand gens qui gagnent pas quoi manger 
(1102653240401907712,irr)les lobbys font loi font pression sur pour affaiblir repousser interdiction des plastiques usage unique pollutionplastique ibx via 
(1102653239923757056,neu)pour une renaissance européenne lettre emmanuel macron aux européen 
(1102653228683091969,neu)emmanuel macron adresse ensemble union européenne dans une tribune peut être devrait tirer les conclusions politique libérale dans pays dont est président république avant parler 
(1102653227638636545,neg)europe appauvrie ses peuples macron gars qui est rien pas mon président 
(1102653218423783425,neu)semble que notion droite est suffisamment vaste floue pour englober ces deux est toujours droite gauche quelqu pour lfi macron est pire que tatcher suppose que mlp voit lui socialiste 
(1102653189919248384,neu)aux européennes raffarin choisit macron plutôt que wauquiez via qgg 
(1102653155416920065,pos)lettre emmanuel macron aux européens projet plein sens pas alternative souhaitable union des peuples europe dans monde 
